ID;OPERACAO;PAGTO;CLIENTE;DOCUMENTO;SACADO;DOCUMENTO;UA;PRODUTO;SIGLA;NUMERO;CADASTRO;EMISSAO;VENCIMENTO;VENCIMENTO EFETIVO;VENCIDO;SITUACAO;DATA SITUACAO;MANIFESTO;DATA MANIFESTO;VALOR NOMINAL;DESCONTO ABATIMENTO;VALOR LIQUIDO;VALOR PAGO;SALDO DEVEDOR;OSCILACAO;TAXA;DESAGIO;CUSTO;RECEITA;TARIFAS OPERACAO;PRAZO REAL;PRAZO COBRADO;GERENTE;SUPERINTENDENTE;BANCO COBRADOR
30881;3293;;Concrebeton Conc. Usinado Eireli;="011211702000130";Concrebeton Conc. Usinado Eireli;="011211702000130";Lepta Securitizadora;FAT;DM;="DIV OP 36";03/01/2022;03/01/2022;25/02/2022;25/02/2022;Nao;Recomprado;25/02/2022;Sem Atuacao;03/01/2022;97.247,71;0,00;97.247,71;97.247,71;97.247,71;0,00;0,00000;0,00;0,00;0,00;0,00;53,00;53,00;;Douglas Floriano;341/2980/336990;
23990;2713;;Mineradora Vale Do Pajeu Ltda;="007387064000136";Marilton Dos Santos Silva;="73115215568";Lepta Securitizadora;FAT;DS;="27175/02";11/02/2022;11/02/2022;26/02/2022;26/02/2022;Nao;Liquidado Normalmente;08/03/2022;Sem Atuacao;11/02/2022;8.800,00;0,00;8.800,00;9.005,30;0,00;205,30;0,00000;0,00;0,00;0,00;0,00;15,00;15,00;;;341/2980/336990;
30882;3293;;Concrebeton Conc. Usinado Eireli;="011211702000130";Concrebeton Conc. Usinado Eireli;="011211702000130";Lepta Securitizadora;FAT;DM;="DIV OP 37";03/01/2022;03/01/2022;02/03/2022;02/03/2022;Nao;Recomprado;02/03/2022;Sem Atuacao;03/01/2022;297.296,59;0,00;297.296,59;297.296,59;297.296,59;0,00;0,00000;0,00;0,00;0,00;0,00;58,00;58,00;;Douglas Floriano;341/2980/336990;
30883;3293;;Concrebeton Conc. Usinado Eireli;="011211702000130";Concrebeton Conc. Usinado Eireli;="011211702000130";Lepta Securitizadora;FAT;DM;="DIV OP 38";03/01/2022;03/01/2022;03/03/2022;03/03/2022;Nao;Recomprado;03/03/2022;Sem Atuacao;03/01/2022;34.731,99;0,00;34.731,99;34.731,99;34.731,99;0,00;0,00000;0,00;0,00;0,00;0,00;59,00;59,00;;Douglas Floriano;341/2980/336990;
23991;2713;;Mineradora Vale Do Pajeu Ltda;="007387064000136";Marilton Dos Santos Silva;="73115215568";Lepta Securitizadora;FAT;DS;="27175/03";11/02/2022;11/02/2022;03/03/2022;03/03/2022;Nao;Liquidado Normalmente;08/03/2022;Sem Atuacao;11/02/2022;8.800,00;0,00;8.800,00;8.990,65;0,00;190,65;0,00000;0,00;0,00;0,00;0,00;20,00;20,00;;;341/2980/336990;
30872;3293;;Concrebeton Conc. Usinado Eireli;="011211702000130";Concrebeton Conc. Usinado Eireli;="011211702000130";Lepta Securitizadora;FAT;DM;="DIV OP 39";03/01/2022;03/01/2022;04/03/2022;04/03/2022;Nao;Recomprado;04/03/2022;Sem Atuacao;03/01/2022;46.889,74;0,00;46.889,74;46.889,74;46.889,74;0,00;0,00000;0,00;0,00;0,00;0,00;60,00;60,00;;Douglas Floriano;341/2980/336990;
30873;3293;;Concrebeton Conc. Usinado Eireli;="011211702000130";Concrebeton Conc. Usinado Eireli;="011211702000130";Lepta Securitizadora;FAT;DM;="DIV OP 43";03/01/2022;03/01/2022;07/03/2022;07/03/2022;Nao;Recomprado;07/03/2022;Sem Atuacao;03/01/2022;80.525,97;0,00;80.525,97;80.525,97;80.525,97;0,00;0,00000;0,00;0,00;0,00;0,00;63,00;63,00;;Douglas Floriano;341/2980/336990;
30874;3293;;Concrebeton Conc. Usinado Eireli;="011211702000130";Concrebeton Conc. Usinado Eireli;="011211702000130";Lepta Securitizadora;FAT;DM;="DIV OP 44";03/01/2022;03/01/2022;21/03/2022;21/03/2022;Nao;Recomprado;21/03/2022;Sem Atuacao;03/01/2022;91.871,73;0,00;91.871,73;91.871,73;91.871,73;0,00;0,00000;0,00;0,00;0,00;0,00;77,00;77,00;;Douglas Floriano;341/2980/336990;
30875;3293;;Concrebeton Conc. Usinado Eireli;="011211702000130";Concrebeton Conc. Usinado Eireli;="011211702000130";Lepta Securitizadora;FAT;DM;="DIV OP 45";03/01/2022;03/01/2022;23/03/2022;23/03/2022;Nao;Recomprado;23/03/2022;Sem Atuacao;03/01/2022;99.459,86;0,00;99.459,86;99.459,86;99.459,86;0,00;0,00000;0,00;0,00;0,00;0,00;79,00;79,00;;Douglas Floriano;341/2980/336990;
16071;2086;;Movent Automotive Ind. E Com. De Autopeca;="061091963000132";Mercedes benz Do Brasil Ltda;="059104273000129";Lepta Securitizadora;FAT;DS;="218388";11/02/2022;11/02/2022;23/03/2022;23/03/2022;Nao;Liquidado Normalmente;23/03/2022;Sem Atuacao;11/02/2022;15.296,60;0,00;15.296,60;15.296,60;0,00;0,00;0,00000;0,00;0,00;0,00;0,00;40,00;40,00;;;341/2980/336990;
16072;2086;;Movent Automotive Ind. E Com. De Autopeca;="061091963000132";Mercedes benz Do Brasil Ltda;="059104273000129";Lepta Securitizadora;FAT;DS;="218387";11/02/2022;11/02/2022;23/03/2022;23/03/2022;Nao;Liquidado Normalmente;23/03/2022;Sem Atuacao;11/02/2022;15.296,60;0,00;15.296,60;15.296,60;0,00;0,00;0,00000;0,00;0,00;0,00;0,00;40,00;40,00;;;341/2980/336990;
16073;2086;;Movent Automotive Ind. E Com. De Autopeca;="061091963000132";Mercedes benz Do Brasil Ltda;="059104273000129";Lepta Securitizadora;FAT;DS;="218383";11/02/2022;11/02/2022;23/03/2022;23/03/2022;Nao;Liquidado Normalmente;23/03/2022;Sem Atuacao;11/02/2022;48.856,00;0,00;48.856,00;48.856,00;0,00;0,00;0,00000;0,00;0,00;0,00;0,00;40,00;40,00;;;341/2980/336990;
16074;2086;;Movent Automotive Ind. E Com. De Autopeca;="061091963000132";Mercedes benz Do Brasil Ltda;="059104273000129";Lepta Securitizadora;FAT;DS;="218382";11/02/2022;11/02/2022;23/03/2022;23/03/2022;Nao;Liquidado Normalmente;23/03/2022;Sem Atuacao;11/02/2022;48.856,00;0,00;48.856,00;48.856,00;0,00;0,00;0,00000;0,00;0,00;0,00;0,00;40,00;40,00;;;341/2980/336990;
30876;3293;;Concrebeton Conc. Usinado Eireli;="011211702000130";Concrebeton Conc. Usinado Eireli;="011211702000130";Lepta Securitizadora;FAT;DM;="DIV OP 12";03/01/2022;03/01/2022;25/03/2022;25/03/2022;Nao;Recomprado;25/03/2022;Sem Atuacao;03/01/2022;117.068,41;0,00;117.068,41;117.068,41;117.068,41;0,00;0,00000;0,00;0,00;0,00;0,00;81,00;81,00;;Douglas Floriano;341/2980/336990;
16075;2086;;Movent Automotive Ind. E Com. De Autopeca;="061091963000132";Mercedes benz Do Brasil Ltda;="059104273000129";Lepta Securitizadora;FAT;DS;="219690";11/02/2022;11/02/2022;06/04/2022;06/04/2022;Nao;Liquidado Normalmente;06/04/2022;Sem Atuacao;11/02/2022;17.389,60;0,00;17.389,60;17.389,60;0,00;0,00;0,00000;0,00;0,00;0,00;0,00;54,00;54,00;;;341/2980/336990;
16076;2086;;Movent Automotive Ind. E Com. De Autopeca;="061091963000132";Mercedes benz Do Brasil Ltda;="059104273000129";Lepta Securitizadora;FAT;DS;="219689";11/02/2022;11/02/2022;06/04/2022;06/04/2022;Nao;Liquidado Normalmente;06/04/2022;Sem Atuacao;11/02/2022;15.074,40;0,00;15.074,40;15.074,40;0,00;0,00;0,00000;0,00;0,00;0,00;0,00;54,00;54,00;;;341/2980/336990;
